Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
5,0.7250,0.7250,0.7250,0.7250,0.7250,0.7236,0.7181,0.6975,0.6838,0.6631,0.6563,0.6425,0.6288,0.6150,0.6150,0.6150,0.6150,0.6150,0.6150,0.6150
6,0.7579,0.7579,0.7579,0.7579,0.7579,0.7566,0.7515,0.7324,0.7197,0.7005,0.6942,0.6814,0.6687,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559
7,0.7886,0.7886,0.7886,0.7886,0.7886,0.7874,0.7827,0.7651,0.7534,0.7357,0.7299,0.7181,0.7064,0.6946,0.6946,0.6946,0.6946,0.6946,0.6946,0.6946
8,0.8171,0.8171,0.8171,0.8171,0.8171,0.8160,0.8117,0.7956,0.7849,0.7687,0.7634,0.7526,0.7419,0.7311,0.7311,0.7311,0.7311,0.7311,0.7311,0.7311
9,0.8434,0.8434,0.8434,0.8434,0.8434,0.8424,0.8385,0.8239,0.8142,0.7995,0.7947,0.7849,0.7752,0.7654,0.7654,0.7654,0.7654,0.7654,0.7654,0.7654
10,0.8675,0.8675,0.8675,0.8675,0.8675,0.8666,0.8631,0.8500,0.8413,0.8281,0.8238,0.8150,0.8063,0.7975,0.7975,0.7975,0.7975,0.7975,0.7975,0.7975
11,0.8894,0.8894,0.8894,0.8894,0.8894,0.8886,0.8855,0.8739,0.8662,0.8545,0.8507,0.8429,0.8352,0.8274,0.8274,0.8274,0.8274,0.8274,0.8274,0.8274
12,0.9091,0.9091,0.9091,0.9091,0.9091,0.9084,0.9057,0.8956,0.8889,0.8787,0.8754,0.8686,0.8619,0.8551,0.8551,0.8551,0.8551,0.8551,0.8551,0.8551
13,0.9266,0.9266,0.9266,0.9266,0.9266,0.9260,0.9237,0.9151,0.9094,0.9007,0.8979,0.8921,0.8864,0.8806,0.8806,0.8806,0.8806,0.8806,0.8806,0.8806
14,0.9419,0.9419,0.9419,0.9419,0.9419,0.9414,0.9395,0.9324,0.9277,0.9205,0.9182,0.9134,0.9087,0.9039,0.9039,0.9039,0.9039,0.9039,0.9039,0.9039
15,0.9550,0.9550,0.9550,0.9550,0.9550,0.9546,0.9531,0.9475,0.9438,0.9381,0.9363,0.9325,0.9288,0.9250,0.9250,0.9250,0.9250,0.9250,0.9250,0.9250
